;;;;;"Документ подготовлен в программе ""Optima WIN"". (C)";;;;;;;;;;
;www.altec.ru;;;;;"ООО ""Алтек"", 1996-2009.";;;;;;;;;
;;;;;;Прайс-лист;;;;;;;;;
;;;1;;;;;;;;;;;;
;499;700;900;1100;1300;1500;;;;;;;;;
499;0;0;0;0;0;0;;;;;;;;;
700;0;4.67;5.93;6.47;7;7.13;;;;;;;;;
900;0;5.33;6.33;6.93;7.53;7.87;;;;;;;;;
1100;0;5.87;6.93;7.53;8.2;8.67;;;;;;;;;
1300;0;6.47;7.67;8.4;9.07;10.07;;;;;;;;;
1500;0;7.07;8.27;9;9.8;11;;;;;;;;;
1700;0;7.67;8.84;9.62;10.45;11.79;;;;;;;;;
1900;0;8.27;9.44;10.27;11.17;12.72;;;;;;;;;Страница 1 из 1
2100;0;8.87;10.05;10.92;11.88;13.65;;;;;;;;;
2300;0;9.47;10.65;11.57;12.59;14.58;;;;;;;;;
2500;0;10.07;11.26;12.22;13.3;15.51;;;;;;;;;
