;;;;;"Документ подготовлен в программе ""Optima WIN"". (C)";;;;;;;;;;
;www.altec.ru;;;;;"ООО ""Алтек"", 1996-2009.";;;;;;;;;
;;;;;;Прайс-лист;;;;;;;;;
;;;1;;;;;;;;;;;;
;999;1300;1600;1900;2200;2500;2800;;;;;;;;
999;0;0;0;0;0;0;0;;;;;;;;
1300;0;7.67;8.53;9.27;10.07;10.73;11.51;;;;;;;;
1600;0;8.4;9.33;10.6;11.33;12.07;13.06;;;;;;;;
1900;0;9;9.93;11.27;12.07;12.8;13.83;;;;;;;;
2200;0;9.93;10.93;11.67;12.6;13.33;14.19;;;;;;;;
2500;0;10.8;11.8;12.8;13.73;14.53;15.48;;;;;;;;
2800;0;11.47;12.47;13.47;14.4;15.27;16.22;;;;;;;;
;;;;;;;;;;;;;;;Страница 1 из 1
